"App","Performance","Accessibility","Best practices","SEO"
"Allan","67","98","96","100"
"Amsler","83","97","100","100"
"Cataract","93","90","96","100"
"Diabetic","99","96","100","100"
"Fields","74","90","96","100"
"Fundal Reflex","74","100","100","100"
"Glaucoma","96","92","96","100"
"Mires","94","95","96","100"
"Morph","96","100","100","100"
"Refract","82","87","100","100"
"Sauron","92","100","100","100"
"Squint","85","93","100","100"
"Swollen Discs","94","94","100","100"
"Trauma","92","100","100","100"
